fromUNLOCODe,ToUNLOCODE,Distance,
AEJEA,ZADUR,4854,
AEJEA,ZAPLZ,5202,
AOLAD,AEJEA,6439,
AOLAD,AOLOB,237,
AOLAD,ARBHI,4490,
AOLAD,ARBUE,4149,
AOLAD,ARPMY,4897,
AOLAD,ARPUD,4921,
AOLAD,AUADL,7381,
AOLAD,AUBNE,8088,
AOLAD,AUFRE,6358,
AOLAD,AUMEL,7311,
AOLAD,AUSYD,7597,
AOLAD,BDCGP,7119,
AOLAD,BEANR,5038,
AOLAD,BEZEE,4977,
AOLAD,BGVAR,5779,
AOLAD,BJCOO,1121,
AOLAD,BRITJ,4687,
AOLAD,BRMAO,4630,
AOLAD,BRPNG,3768,
AOLAD,BRRIG,4204,
AOLAD,BRSSZ,3684,
AOLAD,BRVIX,3229,
AOLAD,BSFPO,5856,
AOLAD,BZBZE,6387,
AOLAD,CAMTR,6022,
AOLAD,CAVAN,10019,12
AOLAD,CAVAN,12125,
AOLAD,CDBOA,190,
AOLAD,CDMAT,269,
AOLAD,CGPNR,266,
AOLAD,CIABJ,1345,
AOLAD,CLARI,7357,
AOLAD,CLIQQ,7247,
AOLAD,CLSAI,6598,
AOLAD,CMDLA,879,
AOLAD,CNDLC,9758,
AOLAD,CNFOC,8968,
AOLAD,CNLYG,9651,
AOLAD,CNSHA,9237,
AOLAD,CNTAO,9629,
AOLAD,CNXMN,8750,
AOLAD,CNYTN,8514,
AOLAD,COBAQ,5647,
AOLAD,COBUN,6339,12
AOLAD,COBUN,8445,
AOLAD,CRMOB,6094,
AOLAD,CYLMS,5736,
AOLAD,DEBRV,5244,
AOLAD,DEHAM,5300,
AOLAD,DJJIB,5716,
AOLAD,DKAAR,5557,
AOLAD,DZAAE,4491,
AOLAD,DZALG,4252,
AOLAD,DZBJA,4364,
AOLAD,DZORN,4067,
AOLAD,DZSKI,4452,
AOLAD,ECESM,6459,12
AOLAD,ECESM,8565,
AOLAD,ECGYE,6811,12
AOLAD,ECGYE,8422,
AOLAD,EGALY,5637,
AOLAD,EGDAM,5758,
AOLAD,EGPSD,5778,
AOLAD,ESAGP,3936,
AOLAD,ESALG,3883,
AOLAD,ESBCN,4350,
AOLAD,ESLPA,3305,
AOLAD,ESSCT,3305,
AOLAD,ESTAR,4344,
AOLAD,ESVGO,4179,
AOLAD,ESVLC,4220,
AOLAD,FIKTK,6185,
AOLAD,FIRAU,6170,
AOLAD,FJSUV,9245,
AOLAD,FRBES,4617,
AOLAD,FRDKK,4948,
AOLAD,FRFOS,4532,
AOLAD,FRLEH,4840,
AOLAD,FRLPE,4625,
AOLAD,FRURO,4909,
AOLAD,GALBV,676,
AOLAD,GAPOG,593,
AOLAD,GBABD,5312,
AOLAD,GBFXT,4997,
AOLAD,GBSOU,4820,
AOLAD,GBTHP,5013,
AOLAD,GEPTI,6191,
AOLAD,GHTKD,1254,
AOLAD,GNCKY,2059,
AOLAD,GRPIR,5277,
AOLAD,GRSKG,5522,
AOLAD,GUGUM,9418,
AOLAD,GWOXB,3409,
AOLAD,HKHKG,8509,
AOLAD,HNPCR,6356,
AOLAD,IDJKT,6779,
AOLAD,IDSRG,6969,
AOLAD,IDSUB,7152,
AOLAD,IEDUB,4871,
AOLAD,ILASH,5836,
AOLAD,ILHFA,5847,
AOLAD,INCOK,5838,
AOLAD,INMAA,6583,
AOLAD,INNSA,6196,
AOLAD,INPAV,6361,
AOLAD,IRBND,6610,
AOLAD,ITGIT,4880,
AOLAD,ITGOA,4684,
AOLAD,ITSAL,4876,
AOLAD,ITTRS,5497,
AOLAD,JOAQB,6136,
AOLAD,JOAQB,6839,
AOLAD,JPHKT,9612,
AOLAD,JPNGO,9943,
AOLAD,JPOSA,9751,
AOLAD,JPSMZ,10012,
AOLAD,JPTYO,9995,
AOLAD,JPUKB,9740,
AOLAD,JPYOK,9973,
AOLAD,KEMBA,4099,
AOLAD,KRPUS,9557,
AOLAD,KWSWK,6812,
AOLAD,LBBEY,5844,
AOLAD,LKCMB,5991,
AOLAD,LRMLW,1766,
AOLAD,MAAGA,3507,
AOLAD,MACAS,3758,
AOLAD,MAPTM,3806,
AOLAD,MQFDF,4798,
AOLAD,MUPLU,3893,
AOLAD,MXESE,8778,12
AOLAD,MXESE,10884,
AOLAD,MXLZC,7574,12
AOLAD,MXLZC,9680,
AOLAD,MXPGO,6518,
AOLAD,MYPEN,6918,
AOLAD,MYPKG,6996,
AOLAD,MYTPP,7229,
AOLAD,NCNOU,8666,
AOLAD,NGAPP,1104,
AOLAD,NICIO,6670,12
AOLAD,NICIO,8776,
AOLAD,NLRTM,5041,
AOLAD,NOAES,5582,
AOLAD,NOBGO,5491,
AOLAD,NOKRS,5391,
AOLAD,NOSVG,5420,
AOLAD,NZAKL,8660,
AOLAD,NZLYT,8669,
AOLAD,NZNPL,8439,
AOLAD,NZNSN,8763,
AOLAD,NZPOE,8358,
AOLAD,NZWLG,8495,
AOLAD,OMSLL,5618,
AOLAD,PABLB,5987,12
AOLAD,PABLB,8093,
AOLAD,PAMIT,5800,
AOLAD,PECLL,7337,12
AOLAD,PECLL,7716,
AOLAD,PFPPT,9421,
AOLAD,PHGES,8184,
AOLAD,PHMNL,8280,
AOLAD,PKBQM,6300,
AOLAD,PKKHI,6295,
AOLAD,PLGDY,5872,
AOLAD,PRSJU,5156,
AOLAD,PTLEI,4156,
AOLAD,PTLIS,3976,
AOLAD,RUKGD,5942,
AOLAD,RULED,6288,
AOLAD,SADMM,6587,
AOLAD,SAJBI,6641,
AOLAD,SAJED,6289,
AOLAD,SEGOT,5472,
AOLAD,SGSIN,7197,
AOLAD,SIKOP,5485,
AOLAD,SLFNA,2034,
AOLAD,SNDKR,2459,
AOLAD,SVAQJ,6820,12
AOLAD,SVAQJ,8926,
AOLAD,SYLTK,5831,
AOLAD,TGLFW,1176,
AOLAD,THLCH,7956,
AOLAD,TNSFA,4901,
AOLAD,TNTUN,4636,
AOLAD,TRAMB,5632,
AOLAD,TRIZM,5473,
AOLAD,TRMER,5805,
AOLAD,TWKEL,8983,
AOLAD,TWKHH,8797,
AOLAD,TZDAR,3957,
AOLAD,UAODS,5976,
AOLAD,USBAL,5844,
AOLAD,USCHS,6016,
AOLAD,USDUT,11233,12
AOLAD,USDUT,12471,
AOLAD,USEWR,7964,
AOLAD,USHNL,10672,12
AOLAD,USHNL,11558,
AOLAD,USHOU,6799,
AOLAD,USILM,5835,
AOLAD,USLAX,8900,12
AOLAD,USLAX,11006,
AOLAD,USLGB,8905,12
AOLAD,USLGB,11011,
AOLAD,USMIA,5866,
AOLAD,USMOB,6525,
AOLAD,USMSY,6578,
AOLAD,USOAK,9237,12
AOLAD,USOAK,11343,
AOLAD,USPHL,5789,
AOLAD,USSAV,5947,
AOLAD,USSEA,10007,12
AOLAD,USSEA,12113,
AOLAD,UYMVD,4024,
AOLAD,VELAG,5133,
AOLAD,VEPBL,5199,
AOLAD,VNDAD,8364,
AOLAD,VNHPH,8412,
AOLAD,VNSGN,7846,
AOLAD,YEADE,5588,
AOLAD,ZACPT,1601,
AOLAD,ZADUR,2391,
AOLAD,ZAPLZ,2017,
AOLOB,AEJEA,6252,
AOLOB,AOLAD,237,
AOLOB,ARBHI,4727,
AOLOB,ARBUE,4386,
AOLOB,ARPMY,5134,
AOLOB,ARPUD,5158,
AOLOB,AUADL,7194,
AOLOB,AUBNE,7901,
AOLOB,AUFRE,6171,
AOLOB,AUMEL,7124,
AOLOB,AUSYD,7410,
AOLOB,BDCGP,6932,
AOLOB,BEANR,5111,
AOLOB,BEZEE,5050,
AOLOB,BGVAR,5995,
AOLOB,BJCOO,1328,
AOLOB,BRITJ,4885,
AOLOB,BRMAO,4867,
AOLOB,BRPNG,4005,
AOLOB,BRRIG,4411,
AOLOB,BRSSZ,3917,
AOLOB,BRVIX,3466,
AOLOB,BSFPO,6063,
AOLOB,BZBZE,6624,
AOLOB,CAMTR,6254,
AOLOB,CAVAN,10244,12
AOLOB,CAVAN,11938,
AOLOB,CDBOA,427,
AOLOB,CDMAT,506,
AOLOB,CGPNR,473,
AOLOB,CIABJ,1561,
AOLOB,CLARI,7594,
AOLOB,CLIQQ,7484,
AOLOB,CLSAI,6835,
AOLOB,CMDLA,1086,
AOLOB,CNDLC,9571,
AOLOB,CNFOC,8781,
AOLOB,CNLYG,9464,
AOLOB,CNSHA,9050,
AOLOB,CNTAO,9442,
AOLOB,CNXMN,8563,
AOLOB,CNYTN,8327,
AOLOB,COBAQ,5863,
AOLOB,COBUN,6564,12
AOLOB,COBUN,8258,
AOLOB,CRMOB,6331,
AOLOB,CYLMS,5952,
AOLOB,DEBRV,5317,
AOLOB,DEHAM,5373,
AOLOB,DJJIB,5529,
AOLOB,DKAAR,5630,
AOLOB,DZAAE,4707,
AOLOB,DZALG,4468,
AOLOB,DZBJA,4580,
AOLOB,DZORN,4283,
AOLOB,DZSKI,4668,
AOLOB,ECESM,6684,12
AOLOB,ECESM,8378,
AOLOB,ECGYE,7036,12
AOLOB,ECGYE,8659,
AOLOB,EGALY,5853,
AOLOB,EGDAM,5974,
AOLOB,EGPSD,5994,
AOLOB,ESAGP,4152,
AOLOB,ESALG,4099,
AOLOB,ESBCN,4566,
AOLOB,ESLPA,3542,
AOLOB,ESSCT,3537,
AOLOB,ESTAR,4560,
AOLOB,ESVGO,4411,
AOLOB,ESVLC,4436,
AOLOB,FIKTK,6258,
AOLOB,FIRAU,6243,
AOLOB,FJSUV,9058,
AOLOB,FRBES,4725,
AOLOB,FRDKK,5021,
AOLOB,FRFOS,4748,
AOLOB,FRLEH,4913,
AOLOB,FRLPE,4857,
AOLOB,FRURO,4982,
AOLOB,GALBV,899,
AOLOB,GAPOG,830,
AOLOB,GBABD,5385,
AOLOB,GBFXT,5070,
AOLOB,GBSOU,4893,
AOLOB,GBTHP,5086,
AOLOB,GEPTI,6407,
AOLOB,GHTKD,1474,
AOLOB,GNCKY,2266,
AOLOB,GRPIR,5493,
AOLOB,GRSKG,5738,
AOLOB,GUGUM,9231,
AOLOB,GWOXB,3646,
AOLOB,HKHKG,8322,
AOLOB,HNPCR,6593,
AOLOB,IDJKT,6592,
AOLOB,IDSRG,6782,
AOLOB,IDSUB,6965,
AOLOB,IEDUB,4982,
AOLOB,ILASH,6052,
AOLOB,ILHFA,6063,
AOLOB,INCOK,5651,
AOLOB,INMAA,6396,
AOLOB,INNSA,6009,
AOLOB,INPAV,6174,
AOLOB,IRBND,6423,
AOLOB,ITGIT,5096,
AOLOB,ITGOA,4900,
AOLOB,ITSAL,5092,
AOLOB,ITTRS,5713,
AOLOB,JOAQB,6352,
AOLOB,JOAQB,6652,
AOLOB,JPHKT,9425,
AOLOB,JPNGO,9756,
AOLOB,JPOSA,9564,
AOLOB,JPSMZ,9825,
AOLOB,JPTYO,9808,
AOLOB,JPUKB,9553,
AOLOB,JPYOK,9786,
AOLOB,KEMBA,3912,
AOLOB,KRPUS,9370,
AOLOB,KWSWK,6625,
AOLOB,LBBEY,6060,
AOLOB,LKCMB,5804,
AOLOB,LRMLW,1998,
AOLOB,MAAGA,3744,
AOLOB,MACAS,3990,
AOLOB,MAPTM,4022,
AOLOB,MQFDF,5035,
AOLOB,MUPLU,3706,
AOLOB,MXESE,9003,12
AOLOB,MXESE,10697,
AOLOB,MXLZC,7799,12
AOLOB,MXLZC,9493,
AOLOB,MXPGO,6750,
AOLOB,MYPEN,6731,
AOLOB,MYPKG,6809,
AOLOB,MYTPP,7042,
AOLOB,NCNOU,8479,
AOLOB,NGAPP,1311,
AOLOB,NICIO,6895,12
AOLOB,NICIO,8589,
AOLOB,NLRTM,5114,
AOLOB,NOAES,5668,
AOLOB,NOBGO,5564,
AOLOB,NOKRS,5464,
AOLOB,NOSVG,5493,
AOLOB,NZAKL,8473,
AOLOB,NZLYT,8482,
AOLOB,NZNPL,8252,
AOLOB,NZNSN,8576,
AOLOB,NZPOE,8171,
AOLOB,NZWLG,8308,
AOLOB,OMSLL,5431,
AOLOB,PABLB,6212,12
AOLOB,PABLB,7906,
AOLOB,PAMIT,6032,
AOLOB,PECLL,7562,12
AOLOB,PECLL,7953,
AOLOB,PFPPT,9658,
AOLOB,PHGES,7997,
AOLOB,PHMNL,8093,
AOLOB,PKBQM,6113,
AOLOB,PKKHI,6108,
AOLOB,PLGDY,5945,
AOLOB,PRSJU,5388,
AOLOB,PTLEI,4388,
AOLOB,PTLIS,4208,
AOLOB,RUKGD,6015,
AOLOB,RULED,6361,
AOLOB,SADMM,6400,
AOLOB,SAJBI,6454,
AOLOB,SAJED,6102,
AOLOB,SEGOT,5545,
AOLOB,SGSIN,7010,
AOLOB,SIKOP,5701,
AOLOB,SLFNA,2250,
AOLOB,SNDKR,2691,
AOLOB,SVAQJ,7045,12
AOLOB,SVAQJ,8739,
AOLOB,SYLTK,6047,
AOLOB,TGLFW,1383,
AOLOB,THLCH,7769,
AOLOB,TNSFA,5117,
AOLOB,TNTUN,4852,
AOLOB,TRAMB,5848,
AOLOB,TRIZM,5689,
AOLOB,TRMER,6021,
AOLOB,TWKEL,8796,
AOLOB,TWKHH,8610,
AOLOB,TZDAR,3770,
AOLOB,UAODS,6192,
AOLOB,USBAL,6076,
AOLOB,USCHS,6248,
AOLOB,USDUT,11458,12
AOLOB,USDUT,12284,
AOLOB,USEWR,8189,
AOLOB,USHNL,10897,12
AOLOB,USHNL,11762,
AOLOB,USHOU,7036,
AOLOB,USILM,6072,
AOLOB,USLAX,9125,12
AOLOB,USLAX,10819,
AOLOB,USLGB,9130,12
AOLOB,USLGB,10824,
AOLOB,USMIA,6098,
AOLOB,USMOB,6762,
AOLOB,USMSY,6815,
AOLOB,USOAK,9462,12
AOLOB,USOAK,11156,
AOLOB,USPHL,6026,
AOLOB,USSAV,6184,
AOLOB,USSEA,10232,12
AOLOB,USSEA,11926,
AOLOB,UYMVD,4261,
AOLOB,VELAG,5349,
AOLOB,VEPBL,5415,
AOLOB,VNDAD,8177,
AOLOB,VNHPH,8225,
AOLOB,VNSGN,7659,
AOLOB,YEADE,5401,
AOLOB,ZACPT,1475,
AOLOB,ZADUR,2204,
AOLOB,ZAPLZ,1830,
ARBHI,AEJEA,8921,
ARBHI,AOLAD,4490,
ARBHI,AOLOB,4727,
ARBHI,ARBUE,564,
ARBHI,ARPMY,1312,
ARBHI,ARPUD,1363,
ARBHI,AUADL,7477,
ARBHI,AUBNE,7028,
ARBHI,AUFRE,8645,
ARBHI,AUMEL,7094,
ARBHI,AUSYD,6803,
ARBHI,BDCGP,9601,
ARBHI,BEANR,6709,
ARBHI,BEZEE,6648,
ARBHI,BGVAR,7559,
ARBHI,BJCOO,4563,
ARBHI,BRITJ,1262,
ARBHI,BRMAO,4537,
ARBHI,BRPNG,1263,
ARBHI,BRRIG,779,
ARBHI,BRSSZ,1292,
ARBHI,BRVIX,1747,
ARBHI,BSFPO,5949,
ARBHI,BZBZE,5734,12
ARBHI,BZBZE,6159,
ARBHI,CAMTR,6810,
ARBHI,CAVAN,7982,
ARBHI,CDBOA,4634,
ARBHI,CDMAT,4759,
ARBHI,CGPNR,4717,
ARBHI,CIABJ,4257,
ARBHI,CLARI,3305,
ARBHI,CLIQQ,3205,
ARBHI,CLSAI,2414,
ARBHI,CMDLA,4974,
ARBHI,CNDLC,11097,
ARBHI,CNFOC,10765,
ARBHI,CNLYG,10965,
ARBHI,CNSHA,10809,
ARBHI,CNTAO,11048,
ARBHI,CNXMN,10669,
ARBHI,CNYTN,10809,
ARBHI,COBAQ,5254,12
ARBHI,COBAQ,5375,
ARBHI,COBUN,4658,
ARBHI,CRMOB,5152,12
ARBHI,CRMOB,5904,
ARBHI,CYLMS,7512,
ARBHI,DEBRV,6915,
ARBHI,DEHAM,6971,
ARBHI,DJJIB,8198,
ARBHI,DKAAR,7228,
ARBHI,DZAAE,6273,
ARBHI,DZALG,6035,
ARBHI,DZBJA,6143,
ARBHI,DZORN,5850,
ARBHI,DZSKI,6227,
ARBHI,ECESM,4441,
ARBHI,ECGYE,4238,
ARBHI,EGALY,7420,
ARBHI,EGDAM,7544,
ARBHI,EGPSD,7564,
ARBHI,ESAGP,5676,
ARBHI,ESALG,5623,
ARBHI,ESBCN,6132,
ARBHI,ESLPA,4917,
ARBHI,ESSCT,4999,
ARBHI,ESTAR,6099,
ARBHI,ESVGO,5876,
ARBHI,ESVLC,6001,
ARBHI,FIKTK,7856,
ARBHI,FIRAU,7841,
ARBHI,FJSUV,6448,
ARBHI,FRBES,6309,
ARBHI,FRDKK,6613,
ARBHI,FRFOS,6305,
ARBHI,FRLEH,6511,
ARBHI,FRLPE,6339,
ARBHI,FRURO,6580,
ARBHI,GALBV,4756,
ARBHI,GAPOG,4705,
ARBHI,GBABD,6958,
ARBHI,GBFXT,6654,
ARBHI,GBSOU,6483,
ARBHI,GBTHP,6684,
ARBHI,GEPTI,7973,
ARBHI,GHTKD,4376,
ARBHI,GNCKY,4096,
ARBHI,GRPIR,7059,
ARBHI,GRSKG,7305,
ARBHI,GUGUM,9148,
ARBHI,GWOXB,4313,
ARBHI,HKHKG,10804,
ARBHI,HNPCR,5694,12
ARBHI,HNPCR,6234,
ARBHI,IDJKT,9261,
ARBHI,IDSRG,9451,
ARBHI,IDSUB,9634,
ARBHI,IEDUB,6509,
ARBHI,ILASH,7624,
ARBHI,ILHFA,7627,
ARBHI,INCOK,8320,
ARBHI,INMAA,9065,
ARBHI,INNSA,8678,
ARBHI,INPAV,8843,
ARBHI,IRBND,9092,
ARBHI,ITGIT,6650,
ARBHI,ITGOA,6466,
ARBHI,ITSAL,6616,
ARBHI,ITTRS,7280,
ARBHI,JOAQB,7922,
ARBHI,JOAQB,9321,
ARBHI,JPHKT,10586,
ARBHI,JPNGO,10467,
ARBHI,JPOSA,10440,
ARBHI,JPSMZ,10290,
ARBHI,JPTYO,10283,
ARBHI,JPUKB,10429,
ARBHI,JPYOK,10261,
ARBHI,KEMBA,6581,
ARBHI,KRPUS,10679,
ARBHI,KWSWK,9294,
